image,attack,psnr,ssim,bit_accuracy,ber,nc,phash_distance,log_match,signature_ok,risk
aigc_01_portrait,无攻击,42.22,0.9996,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_01_portrait,JPEG Q=90,38.103,0.9992,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_01_portrait,JPEG Q=70,35.535,0.9985,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_01_portrait,JPEG Q=50,35.075,0.9985,0.6094,0.3906,0.2188,0,否,否,内容相似，但水印可能被破坏或移除
aigc_01_portrait,高斯噪声 sigma=0.01,37.368,0.999,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_01_portrait,缩放 0.5x,35.965,0.9979,0.9688,0.0312,0.9375,0,否,否,内容相似，但水印可能被破坏或移除
aigc_01_portrait,裁剪 10%,12.758,0.5153,0.4531,0.5469,-0.0938,18,否,否,内容变化较大，无法可信溯源
aigc_01_portrait,局部遮挡篡改,13.188,0.5983,1.0,0.0,1.0,22,是,是,来源记录存在，但内容疑似大幅篡改
aigc_01_portrait,亮度 +20%,23.847,0.9718,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_01_portrait,模糊 r=1.2,34.095,0.9966,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_01_portrait,日志签名篡改,42.22,0.9996,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_02_city,无攻击,41.861,0.9992,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_02_city,JPEG Q=90,30.689,0.9963,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_02_city,JPEG Q=70,27.653,0.9867,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_02_city,JPEG Q=50,26.409,0.9791,0.8594,0.1406,0.7188,0,否,否,内容相似，但水印可能被破坏或移除
aigc_02_city,高斯噪声 sigma=0.01,37.297,0.9982,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_02_city,缩放 0.5x,23.744,0.9231,0.7188,0.2812,0.4375,0,否,否,内容相似，但水印可能被破坏或移除
aigc_02_city,裁剪 10%,12.88,0.2405,0.5781,0.4219,0.1562,16,否,否,内容变化较大，无法可信溯源
aigc_02_city,局部遮挡篡改,16.062,0.6982,1.0,0.0,1.0,16,是,是,来源记录存在，但内容疑似大幅篡改
aigc_02_city,亮度 +20%,25.622,0.9739,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_02_city,模糊 r=1.2,22.72,0.8987,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_02_city,日志签名篡改,41.861,0.9992,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_03_landscape,无攻击,42.134,0.9996,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_03_landscape,JPEG Q=90,33.441,0.9987,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_03_landscape,JPEG Q=70,30.604,0.9958,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_03_landscape,JPEG Q=50,29.744,0.9944,0.75,0.25,0.5,0,否,否,内容相似，但水印可能被破坏或移除
aigc_03_landscape,高斯噪声 sigma=0.01,37.299,0.9991,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_03_landscape,缩放 0.5x,30.117,0.9903,0.9375,0.0625,0.875,0,否,否,内容相似，但水印可能被破坏或移除
aigc_03_landscape,裁剪 10%,14.61,0.6818,0.5156,0.4844,0.0312,16,否,否,内容变化较大，无法可信溯源
aigc_03_landscape,局部遮挡篡改,13.109,0.5962,1.0,0.0,1.0,14,是,是,来源记录存在，但内容疑似大幅篡改
aigc_03_landscape,亮度 +20%,20.427,0.9735,1.0,0.0,1.0,2,是,是,高可信来源一致
